"Species","Ind","Site","Area","Diam","source","Sex_sys"
"Ambrosia artemisiifolia","5","LP",216.706,16.6107991614304,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",237.079,17.3740714291805,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",242.172,17.5596972362169,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",233.811,17.2539100262541,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",246.881,17.7295981918306,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",260.912,18.2264499038058,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",241.403,17.5317952822209,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",251.878,17.9081274858318,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",249.764,17.8328181073893,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",254.281,17.9933494568077,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",243.614,17.6118987747236,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",246.016,17.6985112322355,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",239.001,17.4443550878572,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",282.918,18.979525429193,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",275.23,18.7198749968438,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",246.593,17.7192539079634,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",240.538,17.5003569566882,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",238.905,17.4408512818312,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",257.548,18.1085697465993,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",247.65,17.757189339917,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",237.367,17.3846211064593,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",256.875,18.0848944717365,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",233.235,17.2326441736695,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",260.719,18.2197074856817,"CS2021","monoecious"
"Ambrosia artemisiifolia","6","LP",232.082,17.1899965102156,"CS2021","monoecious"
