"Species","Date","Site","Plant","Flower","Flw_pollen","Stigmas_per_flw","Flower_height","Infl_max","Infl_min","D1","D2","D3","D4","D5","Stigma_length","source"
"Dichanthelium linearifolium","2021-06-09","KMW","1SNA1","1",260,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-09","KMW","1SNA2","1",53,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Dichanthelium linearifolium","2021-06-09","KMW","1SNA3","1",142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Dichanthelium implicatum","2021-06-20","KME","S1","b1",17,2,31,33.5,30.5,9,16,19,10,14,NA,"CS2021"
"Dichanthelium implicatum","2021-06-20","KME","S1","b2",20,2,31,33.5,30.5,9,16,19,10,14,NA,"CS2021"
"Dichanthelium implicatum","2021-06-20","KME","S1","m1",31,2,32,33.5,30.5,9,16,19,10,14,NA,"CS2021"
"Dichanthelium implicatum","2021-06-20","KME","S1","m2",31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Dichanthelium implicatum","2021-06-20","KME","S1","t1",26,2,33.5,33.5,30.5,9,16,19,10,14,NA,"CS2021"
"Dichanthelium implicatum","2021-06-20","KME","S1","t2",22,2,33,33.5,30.5,9,16,19,10,14,NA,"CS2021"
"Dichanthelium implicatum","2021-06-20","KME","S2","m1",3,2,37,39.5,35,6,7,8,15,12,NA,"CS2021"
"Dichanthelium implicatum","2021-06-20","KME","S2","t1",26,2,38,39.5,35,6,7,8,15,12,NA,"CS2021"
"Dichanthelium implicatum","2021-06-20","KME","S3","m1",14,2,42.5,47,40,NA,NA,NA,NA,NA,NA,"CS2021"
"Dichanthelium implicatum","2021-06-20","KME","S3","m2",79,2,41.5,47,40,NA,NA,NA,NA,NA,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S1","A",7,2,33.5,31,37,21,38,39,50,45,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S10","A",39,2,31,34.5,29.5,14,22,15,9,15,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S11","A",26,2,46,59,42,12,15,23,23,29,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S12","A",19,2,43,46,40,19,12,8,15,29,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S13","A",8,2,41.5,46,40,10,18,13,16,27,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S14","A",24,2,29,31.5,26.5,20,29,22,22,26,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S15","A",6,2,31.5,33.5,29.5,14,12,32,36,46,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S2","A",24,2,27.5,26,31,41,42,13,29,10,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S3","A",30,2,32.5,29.5,35,13,47,57,45,82,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S4","A",74,2,45,41.5,46.5,20,8,17,22,34,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S5","A",10,2,42,38.5,44.5,20,14,22,29,20,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S6","A",7,2,40.5,38,43,39,32,46,51,42,NA,"CS2021"
