"Species","Date","Site","Plant","Flower","Stigma","Pollen","Obs_count","Notes","Flower_height","N_flowers","D1","D2","D3","D4","D5","Obs_field"
"Rumex acetosella",2021-06-09,"KMW","F13",1,1,0,"Claire","",22,70,105,130,137,142,146,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F13",1,2,1,"Claire","",22,70,105,130,137,142,146,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F13",1,3,1,"Claire","",22,70,105,130,137,142,146,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F13",2,1,2,"Claire","",22,70,105,130,137,142,146,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F13",2,2,0,"Claire","",22,70,105,130,137,142,146,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F13",2,3,0,"Claire","",22,70,105,130,137,142,146,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F14",1,1,5,"Claire","",14,190,57,77,37,46,30,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F14",1,2,1,"Claire","",14,190,57,77,37,46,30,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F14",1,3,0,"Claire","",14,190,57,77,37,46,30,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F14",2,1,2,"Claire","",14,190,57,77,37,46,30,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F14",2,2,0,"Claire","",14,190,57,77,37,46,30,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F14",2,3,4,"Claire","",14,190,57,77,37,46,30,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F15",1,1,4,"Claire","",17,160,75,41,41,43,78,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F15",1,2,2,"Claire","",17,160,75,41,41,43,78,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F15",1,3,4,"Claire","",17,160,75,41,41,43,78,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F15",2,1,2,"Claire","",17,160,75,41,41,43,78,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F15",2,2,0,"Claire","",17,160,75,41,41,43,78,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F15",2,3,0,"Claire","",17,160,75,41,41,43,78,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F16",1,1,2,"Claire","",8,70,38,56,40,35,60,"Isabeau"
